number,A1,A2,A3,A4,A5,A6,A7
1,Buy,ok,Buy,ok,Buy,ok,Cancel
2,Buy,ok,Buy,ok,trip_1,Buy,Cancel
3,Buy,ok,Buy,ok,trip_1,trip_1,Cancel
4,Buy,ok,Buy,ok,trip_1,trip_2,Cancel
5,Buy,ok,Buy,ok,trip_1,trip_other,Cancel
6,Buy,ok,Buy,ok,trip_2,Buy,Cancel
7,Buy,ok,Buy,ok,trip_2,trip_1,Cancel
8,Buy,ok,Buy,ok,trip_2,trip_2,Cancel
9,Buy,ok,Buy,ok,trip_2,trip_other,Cancel
10,Buy,ok,Buy,ok,trip_other,Buy,Cancel
11,Buy,ok,Buy,ok,trip_other,trip_1,Cancel
12,Buy,ok,Buy,ok,trip_other,trip_2,Cancel
13,Buy,ok,Buy,ok,trip_other,trip_other,Cancel
14,Buy,ok,trip_1,Buy,ok,Buy,Cancel
15,Buy,ok,trip_1,Buy,ok,trip_1,Cancel
16,Buy,ok,trip_1,Buy,ok,trip_2,Cancel
17,Buy,ok,trip_1,Buy,ok,trip_other,Cancel
18,Buy,ok,trip_1,trip_1,Buy,ok,Cancel
19,Buy,ok,trip_1,trip_1,trip_1,Buy,Cancel
20,Buy,ok,trip_1,trip_1,trip_1,trip_1,Cancel
21,Buy,ok,trip_1,trip_1,trip_1,trip_2,Cancel
22,Buy,ok,trip_1,trip_1,trip_1,trip_other,Cancel
23,Buy,ok,trip_1,trip_1,trip_2,Buy,Cancel
24,Buy,ok,trip_1,trip_1,trip_2,trip_1,Cancel
25,Buy,ok,trip_1,trip_1,trip_2,trip_2,Cancel
26,Buy,ok,trip_1,trip_1,trip_2,trip_other,Cancel
27,Buy,ok,trip_1,trip_1,trip_other,Buy,Cancel
28,Buy,ok,trip_1,trip_1,trip_other,trip_1,Cancel
29,Buy,ok,trip_1,trip_1,trip_other,trip_2,Cancel
30,Buy,ok,trip_1,trip_1,trip_other,trip_other,Cancel
31,Buy,ok,trip_1,trip_2,Buy,ok,Cancel
32,Buy,ok,trip_1,trip_2,trip_1,Buy,Cancel
33,Buy,ok,trip_1,trip_2,trip_1,trip_1,Cancel
34,Buy,ok,trip_1,trip_2,trip_1,trip_2,Cancel
35,Buy,ok,trip_1,trip_2,trip_1,trip_other,Cancel
36,Buy,ok,trip_1,trip_2,trip_2,Buy,Cancel
37,Buy,ok,trip_1,trip_2,trip_2,trip_1,Cancel
38,Buy,ok,trip_1,trip_2,trip_2,trip_2,Cancel
39,Buy,ok,trip_1,trip_2,trip_2,trip_other,Cancel
40,Buy,ok,trip_1,trip_2,trip_other,Buy,Cancel
41,Buy,ok,trip_1,trip_2,trip_other,trip_1,Cancel
42,Buy,ok,trip_1,trip_2,trip_other,trip_2,Cancel
